text;hatespeech
"@__andrea__b 
O cara vive em outro mundo
Não no mundo real
REFUGIADOS são os que vivem
Nas favelas vizinhas as suas fortalezas";yes
@_carmeloneto Estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.;no
"@_carmeloneto 
Os 'cumpanhero' quebraram todas as regras.";no
@_GlitteryKisses é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos;no
@_iglira bom dia macaco branco haha;yes
@_Ioen imagino...  ow mandei fazer um body opressor pra Duda! hahahaha;no
@_Ioen parabéns brou! Menina é bom demais!;no
@_Ioen PARABÉNS IRMÃO, SAÚDE E #PAZ. AMÉM.;no
@_jujuba_lima Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs.;no
@_jujuba_lima E o sono... rs. Cheiros. Tb adorei!;no
@_jujuba_lima Oww, linda.. trabalho amanhã =/ dó;no
@_jujuba_lima que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!;no
@_jujuba_lima SOu nada, faço o básico hahaha;no
@_jujuba_lima Taí, sou ótima com sobremesas, doces, bolos...;no
@_kcris Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?;no
@_kcris OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...;no
@_latinlover_ cedemos ao encanto e caímos de boca meu caro!;no
@_latinlover_ Perfume pra mão jovem amante.....pra mão. Cappice?;yes
@_Nabarra 'Estimo que se foda' será mais profissional.;yes
@_NandaSilva_ bom dia sapatao da minha vida;yes
@_opressor falei isso desde ontem ..kkkk https://t.co/UYYWi7iJ33;no
@_SsarahA @Ebandeira_ isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem;yes
@_TheEarlyBird @JOAQUINVOLTOU e que tal uma linha de bonés??  https://t.co/iHrd5qTIH6;no
"[9/3 09:11] jhu : Bom viado mais lindo
[9/3 09:11] Dj Luizinho: Bom dia sapatão mais gostoza";yes
[ENEM] Questão 1: OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ( ) SOMETIMES ( ) VIDA DE GADO ( ) ANA JULIA ( ) PA GANGNAM STYLE;no
[EXTRA] Imagine se fosse um branco fazendo isso com um muçulmano, seria notícia no país inteiro https://t.co/1PUC6Uj0gc;yes
[EXTRAOFICIAL] O terrorista do Louvre é um egípcio de 29 anos que chegou na França mês passado. Equipe. https://t.co/xLvxIyGJ8I;no
"[FUTEBOL]
Escolinha da ADC Santana Adc é Pedreira na Copa Rio Branco em Amparo https://t.co/7JnhURaOPd";no
"18:40] Max: Vai tomar no teu cu então
18:40] Max: Sua gorda feia
18:40] Max  :Meu amor por você
18:41] Leticia: Eu sou gorda Maxwell?";yes
Ê lá em casa https://t.co/rAHYwfvkAx;no
@a_angioletti @JOAQUINVOLTOU DEIXA EU ADIVINHAR...PÉSSIMA RELAÇÃO COM O PAI? GORDA FEIA SEQUER ASSEDIADA POR ALGUÉM?ACHO QUE OS DOIS HEIN...;yes
aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir;no
Aaaaaa Turma de 9 homens e eu, o prof fala de cabo sapatão (conector femea femea) e todo mundo olha pra mim;yes
"A afronta aos portugueses não pára!
https://t.co/mGEV4CjFRP#RenovarPortugal #PNR #Portugal #Imigração https://t.co/26j98jdIYH";no
A agência LiveAD São Paulo adquiriu 40 exemplares do livro MeuAmigoSecreto: Feminismo além das redes para... https://t.co/DleQjLxvym;no
"A Alemanha tornou a sentir os “benefícios” dos (i)”migrantes” da invasão islâmica. 
https://t.co/uG82badvys";yes
"A 1a mão foi no Dia dos Namorados,a 2a calha no Dia da Mulher.
O Benfica-Dortmund foi criado para testar os relacionamentos dos benfiquistas";no
A ameaça do terrorismo radical islâmico é bem real, veja o que acontece na Europa e no Oriente Médio. Os tribunais _ https://t.co/cyd14kyXY0;no
A AMPLA MAIORIA SÃO UNS RETARDADOS SÓ FALAM MERDA E SÓ GANHAM FAMA PORQUE OS JOVENS SÃO COMO ELES: DÉBEIS MENTAIS _ https://t.co/b3WqRv4cww;yes
"@aapbatista 
Ora bem... já está a perder a linha. O verniz dos 'tolerantes' acaba sempre por estalar.";yes
A atenção finalmente está voltada aos infiltrados desocupados! Eles serão pegos! https://t.co/lGSLTh3AKd;no
"A avaliar pela quantidade de malta conhecida que morreu em 2016, o 'In Memoriam' deste ano é coisa para durar umas 9 horitas na boa
#Oscars";yes
Abaixo, apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero.;no
A bazófia de Jesus é tão grande que, para não assumir os seus erros, até abafa o Palhinha!...;yes
abdnsndnns ela vai sair de burca pra não mostrar a cara, não quero ninguém encima dela https://t.co/dpXDrPu39E;yes
Aberração é um adulto impor às crianças a flácida relação da ideologia de gênero: Nada é o q parece ser. #nãoàideologiadegênero;yes
Abertas as inscrições III Festival de Dança que acontecerá em abril na Estação Cabo Branco https://t.co/q2WbjEvwap;no
Abismo da desigualdade e injustiça. @jpintocoelho60 https://t.co/rbVSxVDliB#PNR #RenovarPortugal #Portugal;no
A bomba encontrada na Nazaré foi logo detonada, já a do Panamá está quase há um ano, no Expresso, à espera da brigada de minas e armadilhas.;no
Aborto é crime repugnante contra uma vida tão frágil e indefesa. https://t.co/rswGU7YS2H;no
abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando, acho que caiu a empadinha dela;yes
